country,rep_code,developed,platform,full_name
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
UK,GBR,1,Reproducibility Network,United Kingdom
